"Id","Title","Name","Description"
1,Amenities,"Air Conditioning",""
2,Amenities,"Audio System",""
3,Amenities,"Book Library","Assortment of books"
4,Amenities,"Kitchen Appliances","Well equipped with state of the art appliances"
5,Amenities,"Home Theatre System",""
6,Amenities,"Media Library","Assortment of movies"
7,Amenities,"Outdoor Cooking Facilities","BBQ"
8,Amenities,"Television", "Plasma TV, DVD player"
9,Amenities,"Outdoor Amenities", "Outdoor dinning under covered porch, lounge chairs"
10,Amenities,"Laundry facilities","Washer and dryer"
11,Amenities,"Oceanfront",""
12,Amenities,"Electricity","500KW allotted for weekly rentals, usage above allotted amount will be charged at going rate per KW"
